n_diag_sec,n_proc_sec,n_diag_total_input,n_proc_total_input,n_inputs_total,n_classes,params,epochs_run,best_val_accuracy,best_val_loss,test_loss,accuracy,f1_macro,f1_weighted,top3_accuracy,seconds
16,24,17,25,44,113,333406,12,0.838867723941803,0.6292291283607483,0.7007324695587158,0.8353658536585366,0.7673441881901959,0.8327073388066031,0.9459930062294006,13.67
28,2,29,3,34,113,298470,12,0.8405008316040039,0.6267234086990356,0.6398195028305054,0.8318815331010453,0.7650349450254902,0.8295232455036021,0.9516550302505492,11.42
12,20,13,21,36,113,304006,12,0.8301578760147095,0.6530815958976746,0.6780806183815002,0.828397212543554,0.7642869697025175,0.824725758786212,0.9616724848747252,14.9
20,4,21,5,28,113,283446,12,0.8312466144561768,0.6803617477416992,0.6550107002258301,0.8292682926829268,0.7639573444442949,0.8267016735931033,0.9542682766914368,9.88
24,0,25,1,28,113,276558,12,0.8258029222488403,0.7160050868988037,0.7404690384864807,0.8253484320557491,0.7612301704095287,0.822071974022522,0.9464285969734192,10.02
16,2,17,3,22,113,261238,12,0.8410452008247375,0.6676735281944275,0.6688963770866394,0.8301393728222997,0.760102765841105,0.8240129888251722,0.9507839679718018,8.69
34,2,35,3,40,113,312694,12,0.8312466144561768,0.6927462220191956,0.68796706199646,0.830574912891986,0.7596073990515085,0.8270967249320562,0.9494773745536804,13.02
16,29,17,30,49,113,347310,12,0.8399564623832703,0.6611434817314148,0.7252098321914673,0.8288327526132404,0.7575513724495727,0.8210673891517488,0.952090620994568,15.05
12,10,13,11,26,113,272838,12,0.837234616279602,0.6499588489532471,0.7087944149971008,0.8297038327526133,0.7574552979777801,0.827710414681446,0.948606252670288,16.19
12,6,13,7,22,113,258846,12,0.838867723941803,0.6645033359527588,0.6694653034210205,0.8292682926829268,0.7571008256659412,0.8245584724148627,0.9547038078308104,15.51
