n_diag_sec,n_proc_sec,n_diag_total_input,n_proc_total_input,n_inputs_total,n_classes,params,epochs_run,best_val_accuracy,best_val_loss,test_loss,accuracy,f1_macro,f1_weighted,top3_accuracy,seconds
28,8,29,9,40,113,321030,12,0.838867723941803,0.6482501029968262,0.7027807831764221,0.8249128919860628,0.7521100627851369,0.8190400117444144,0.9520906209945679,12.74
6,2,7,3,12,113,204969,12,0.8236255049705505,0.7145960927009583,0.6934654712677002,0.8192508710801394,0.7517403886664565,0.8143390712374592,0.9499129056930542,6.39
8,2,9,3,14,113,220966,12,0.8339684009552002,0.6681545376777649,0.6812778115272522,0.8236062717770035,0.7517030416194521,0.8180864068639789,0.9490417838096619,6.94
10,4,11,5,18,113,240630,12,0.837234616279602,0.6397427916526794,0.6825040578842163,0.8218641114982579,0.7509661050520668,0.8192444054989637,0.9525261521339417,10.67
24,6,25,7,34,113,303174,12,0.8415895700454712,0.6361210346221924,0.6982583403587341,0.8236062717770035,0.7507459962393659,0.8196000214035876,0.950348436832428,11.55
34,12,35,13,50,113,348830,12,0.838867723941803,0.67264723777771,0.7066031098365784,0.8266550522648084,0.7507097211561081,0.8224000768631421,0.9516550302505493,17.12
28,12,29,13,44,113,334606,12,0.8405008316040039,0.6258773803710938,0.699571430683136,0.8257839721254355,0.7502185700244797,0.8220083445335693,0.9477351903915405,13.88
34,8,35,9,46,113,335254,12,0.8317909836769104,0.6816759705543518,0.7207925319671631,0.8236062717770035,0.7497190587519356,0.8197856799282411,0.9464285969734192,15.97
20,24,21,25,48,113,347718,12,0.8405008316040039,0.6577195525169373,0.6821760535240173,0.8201219512195121,0.7494107932135519,0.8166255692209929,0.9477351903915405,14.61
24,4,25,5,32,113,295654,12,0.8350571393966675,0.6351451277732849,0.6569086313247681,0.8183797909407665,0.748801720041372,0.8151342786906786,0.9555749297142029,11.0
6,6,7,7,16,113,220385,12,0.8307022452354431,0.670849621295929,0.6773938536643982,0.8201219512195121,0.7486095242810867,0.8173632013325013,0.9520906209945679,7.42
6,10,7,11,20,113,234377,12,0.8415895700454712,0.6221717596054077,0.6854000687599182,0.8166376306620209,0.7481939679874056,0.8139824270092426,0.9564459919929504,8.63
12,2,13,3,18,113,243430,12,0.8334240317344666,0.6528655886650085,0.6957405805587769,0.8201219512195121,0.747892062388106,0.817292252855289,0.9464285969734192,9.18
6,29,7,30,39,113,291041,12,0.8415895700454712,0.6323710083961487,0.6705942153930664,0.8244773519163763,0.7470862799450998,0.8178469011789993,0.9586237072944641,12.9
16,6,17,7,26,113,276654,12,0.8361458778381348,0.6667584776878357,0.6811339259147644,0.8244773519163763,0.7460189985317659,0.8209118386856343,0.950348436832428,9.49
8,6,9,7,18,113,236382,12,0.8252585530281067,0.6565935611724854,0.6962012648582458,0.8166376306620209,0.7457233295599491,0.8139644464496366,0.9490417838096619,7.86
28,16,29,17,48,113,347190,12,0.843766987323761,0.6627507209777832,0.6993563175201416,0.8201219512195121,0.7453618188353704,0.815960043653816,0.9520906209945679,14.76
16,10,17,11,30,113,290646,12,0.8383233547210693,0.6460829377174377,0.7068326473236084,0.8222996515679443,0.745252417102609,0.8191997632728365,0.9477351903915405,10.56
12,24,13,25,40,113,315598,12,0.832335352897644,0.6442633271217346,0.6905373930931091,0.8205574912891986,0.7447566352558881,0.8162525416714017,0.9520906209945679,13.57
28,29,29,30,61,113,384542,12,0.832335352897644,0.6811531782150269,0.682058572769165,0.8236062717770035,0.7444808430778289,0.8168120742025404,0.9560104608535767,18.5
12,29,13,30,45,113,329502,12,0.8317909836769104,0.671030580997467,0.70689857006073,0.8218641114982579,0.7439772445542032,0.8175240885532264,0.9472996592521667,14.58
24,20,25,21,48,113,348334,12,0.8334240317344666,0.6608285307884216,0.6869149208068848,0.8201219512195121,0.743528605250404,0.8149456733126343,0.9520906209945679,14.79
20,20,21,21,44,113,336126,12,0.8394120931625366,0.6211544275283813,0.6689332723617554,0.820993031358885,0.7431366226643147,0.815532906367128,0.9507839679718018,13.93
28,24,29,25,56,113,370638,12,0.8328797221183777,0.6444523930549622,0.7051762938499451,0.8183797909407665,0.7431150302295596,0.8132512235677648,0.9529616832733154,16.65
24,8,25,9,36,113,310318,12,0.8350571393966675,0.6636982560157776,0.704221785068512,0.8218641114982579,0.7428385915759466,0.8181940119161175,0.9547038078308105,12.02
24,24,25,25,52,113,359926,12,0.8361458778381348,0.6701422333717346,0.6611911654472351,0.8179442508710801,0.7414970273387705,0.811739093609663,0.9507839679718018,15.68
4,24,5,25,32,113,253117,12,0.8241698145866394,0.6378685235977173,0.7239665985107422,0.8157665505226481,0.7410766330206365,0.8127694770667903,0.950348436832428,10.98
12,4,13,5,20,113,251326,12,0.8377789855003357,0.6453302502632141,0.6803783178329468,0.8148954703832753,0.741046796773757,0.8101788848231501,0.9533972144126892,14.72
12,8,13,9,24,113,265990,11,0.8345127701759338,0.6477072834968567,0.6624757051467896,0.8218641114982579,0.7403269735123903,0.8150127300420318,0.9516550302505493,14.91
34,10,35,11,48,113,342102,12,0.8366902470588684,0.654650866985321,0.6764073371887207,0.8162020905923345,0.7400826691278279,0.8128698205292344,0.9542682766914368,16.84
6,4,7,5,14,113,212865,12,0.8290691375732422,0.6825692653656006,0.718378484249115,0.8183797909407665,0.7400422734100529,0.8108732349194575,0.9499129056930542,6.84
16,12,17,13,32,113,297374,12,0.8356015086174011,0.6379064917564392,0.6990290284156799,0.813588850174216,0.7400165632574989,0.8105052379727822,0.9507839679718018,11.01
20,6,21,7,30,113,290966,12,0.843766987323761,0.6384598016738892,0.6773499846458435,0.8214285714285714,0.7400141624249897,0.8191048314823579,0.9499129056930542,10.67
20,29,21,30,53,113,361622,12,0.8296135067939758,0.6544491648674011,0.6700910925865173,0.8148954703832753,0.739708064812111,0.8112994749984099,0.9516550302505493,15.93
8,12,9,13,24,113,257102,11,0.8350571393966675,0.6457618474960327,0.6792668104171753,0.8166376306620209,0.7395734652364135,0.8088831978244636,0.9516550302505493,8.84
34,29,35,30,67,113,398766,12,0.821448028087616,0.7003060579299927,0.7173880934715271,0.8162020905923345,0.7394314281711587,0.8143788005271151,0.9499129056930542,21.33
10,16,11,17,30,113,281454,12,0.837234616279602,0.663591742515564,0.6869893074035645,0.8148954703832753,0.7394217205994306,0.8117377685064999,0.9529616832733154,11.38
24,2,25,3,30,113,287758,12,0.8356015086174011,0.6917439103126526,0.6842624545097351,0.8205574912891986,0.739258028843987,0.8163398187079858,0.9472996592521667,10.56
34,16,35,17,54,113,361414,12,0.8415895700454712,0.6756420135498047,0.6804729104042053,0.8222996515679443,0.7391720760918458,0.8171654769199125,0.9547038078308105,17.92
16,0,17,1,20,113,250038,12,0.8296135067939758,0.6895503997802734,0.6990904211997986,0.8201219512195121,0.7388623687921115,0.8140041399185662,0.946864128112793,8.29
6,8,7,9,18,113,227529,12,0.8236255049705505,0.6665351390838623,0.7014221549034119,0.8148954703832753,0.7383026899283142,0.8093590909510766,0.953832745552063,8.07
8,20,9,21,32,113,281542,12,0.8383233547210693,0.6433773040771484,0.6893377304077148,0.8170731707317073,0.7381948087207696,0.8113891721875316,0.9481707215309143,15.18
8,16,9,17,28,113,269686,11,0.832335352897644,0.6578310132026672,0.6576186418533325,0.8118466898954704,0.7378615494951438,0.8059521356170284,0.953832745552063,10.77
8,24,9,25,36,113,293134,12,0.8394120931625366,0.643882155418396,0.7196797728538513,0.8157665505226481,0.7371918618068957,0.8127624593748725,0.9533972144126892,15.33
20,12,21,13,36,113,311686,12,0.8361458778381348,0.6571184396743774,0.6972306966781616,0.8127177700348432,0.736841314099121,0.8099848160350155,0.9520906209945679,12.44
12,16,13,17,32,113,292150,12,0.8405008316040039,0.6551342606544495,0.70096355676651,0.8148954703832753,0.7361860019732281,0.8112132106190694,0.9516550302505493,15.2
28,0,29,1,32,113,287270,12,0.8268916606903076,0.6888083815574646,0.7305224537849426,0.8144599303135889,0.7361325850589673,0.8088387078480053,0.9455574750900269,10.87
28,4,29,5,36,113,306366,12,0.8421339392662048,0.6445935368537903,0.6602256894111633,0.8179442508710801,0.7342472258392985,0.8122301274661458,0.9547038078308105,11.84
34,4,35,5,42,113,320590,12,0.8192705512046814,0.7030550837516785,0.6954944729804993,0.8096689895470384,0.7342250099819255,0.8079962037287781,0.9499129056930542,14.74
8,8,9,9,20,113,243526,12,0.8328797221183777,0.6530122756958008,0.6965507864952087,0.8144599303135889,0.7334033206805921,0.8102744244924744,0.9529616832733154,8.34
