model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,accuracy,macro_f1,weighted_f1,top3_accuracy,epochs_run,best_val_loss,seconds
Neural Network,10,8,"[256, 128]","[0.35, 0.25]",0.8227351916376306,0.7502573581276635,0.8185130149129434,0.9407665729522705,12,0.6831677556037903,9.25
Neural Network,10,4,"[256, 128]","[0.35, 0.25]",0.820993031358885,0.7502029275290443,0.8169305564123258,0.9481707215309143,12,0.6543444395065308,11.9
Neural Network,34,29,"[256, 128]","[0.35, 0.25]",0.8275261324041812,0.7499966635172174,0.8220609860690409,0.9494773745536804,12,0.665541410446167,18.98
Neural Network,10,29,"[256, 128]","[0.35, 0.25]",0.8262195121951219,0.7496773838548983,0.8200075782757701,0.950348436832428,12,0.6572638154029846,13.43
Neural Network,16,24,"[256, 128]","[0.35, 0.25]",0.8205574912891986,0.7494034000235659,0.8151380016968698,0.9451219439506531,12,0.6389542818069458,13.67
Neural Network,8,29,"[256, 128]","[0.35, 0.25]",0.8222996515679443,0.7489413018959434,0.8161068450666396,0.950348436832428,12,0.672250509262085,13.16
Neural Network,12,2,"[256, 128]","[0.35, 0.25]",0.8222996515679443,0.7487752215447471,0.8180000429202596,0.9477351903915405,12,0.6838911771774292,7.7
Neural Network,6,29,"[256, 128]","[0.35, 0.25]",0.8236062717770035,0.7465945473544734,0.8200924933167819,0.9477351903915405,12,0.6522740721702576,12.53
Neural Network,8,12,"[256, 128]","[0.35, 0.25]",0.8179442508710801,0.7461345961042612,0.8144520439017449,0.946864128112793,12,0.6563854813575745,9.0
Neural Network,24,6,"[256, 128]","[0.35, 0.25]",0.8196864111498258,0.7456347132239468,0.8160592179923,0.9442508816719055,12,0.6492406129837036,11.3
Neural Network,34,6,"[256, 128]","[0.35, 0.25]",0.8214285714285714,0.7454852470742916,0.8157419702833755,0.9481707215309143,12,0.6164882183074951,13.69
Neural Network,4,10,"[256, 128]","[0.35, 0.25]",0.8192508710801394,0.7449663872076919,0.8135850227655194,0.9486062526702881,12,0.6399649381637573,7.58
Neural Network,6,4,"[256, 128]","[0.35, 0.25]",0.8162020905923345,0.744238106272361,0.8092322954193525,0.9446864128112793,12,0.6609351634979248,6.73
Neural Network,28,0,"[256, 128]","[0.35, 0.25]",0.8140243902439024,0.7433566595065141,0.8085317938759464,0.9459930062294006,12,0.6887257695198059,10.78
Neural Network,12,8,"[256, 128]","[0.35, 0.25]",0.820993031358885,0.7432698073797628,0.8144930542567146,0.9451219439506531,12,0.6908602714538574,8.98
Neural Network,24,24,"[256, 128]","[0.35, 0.25]",0.818815331010453,0.7428134790963259,0.8129915666822629,0.9494773745536804,12,0.6380664110183716,15.42
Neural Network,12,12,"[256, 128]","[0.35, 0.25]",0.8227351916376306,0.7425562887704549,0.8141939332358974,0.9494773745536804,12,0.6318382620811462,9.89
Neural Network,6,16,"[256, 128]","[0.35, 0.25]",0.8166376306620209,0.7417698193129135,0.8108517111543283,0.9438153505325317,12,0.665149450302124,9.78
Neural Network,28,12,"[256, 128]","[0.35, 0.25]",0.8131533101045296,0.7412715110019056,0.8079285111000467,0.9481707215309143,12,0.6332951188087463,13.59
Neural Network,8,6,"[256, 128]","[0.35, 0.25]",0.8196864111498258,0.7410968916456795,0.8134533041261583,0.9472996592521667,12,0.6616093516349792,7.57
Neural Network,8,8,"[256, 128]","[0.35, 0.25]",0.8144599303135889,0.7409261725971154,0.8080566092396959,0.9512194991111755,12,0.6385072469711304,8.02
Neural Network,8,2,"[256, 128]","[0.35, 0.25]",0.8179442508710801,0.7406905339740355,0.8117445946790586,0.950348436832428,12,0.6725717782974243,6.66
Neural Network,16,2,"[256, 128]","[0.35, 0.25]",0.823170731707317,0.7390591611278706,0.8170049538835492,0.9486062526702881,12,0.6971257925033569,8.51
