accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model_family,n_diag_sec,n_proc_sec,main_hyperparameters,seconds
0.6994773519163763,0.613881836755385,0.6939573677776089,0.6299203052855857,0.6219040524018078,0.926829268292683,Random Forest,6,0,"300 trees, balanced_subsample, sqrt features",1.49
0.693815331010453,0.6113503732627313,0.6891294398633225,0.6355850035507092,0.6156025896670966,0.9189895470383276,Random Forest,12,0,"300 trees, balanced_subsample, sqrt features",1.5
0.6894599303135889,0.6065491109059786,0.6820026292853095,0.6224307358734811,0.6131141772469088,0.926829268292683,Random Forest,4,2,"300 trees, balanced_subsample, sqrt features",1.4
0.6872822299651568,0.6037671736991904,0.6795337402926833,0.620640440849316,0.6111974330476851,0.9246515679442509,Random Forest,12,2,"300 trees, balanced_subsample, sqrt features",1.53
0.6898954703832753,0.6028303241480969,0.6813091722738444,0.6165918310384098,0.6136582041583288,0.9298780487804879,Random Forest,10,2,"300 trees, balanced_subsample, sqrt features",1.5
0.6946864111498258,0.6012470888356253,0.6889084977671867,0.6309027082158603,0.6078891479876786,0.9128919860627178,Random Forest,10,0,"300 trees, balanced_subsample, sqrt features",1.44
0.6920731707317073,0.6011453239256288,0.6850809413857195,0.6262746352796145,0.6055317301822025,0.9176829268292683,Random Forest,8,0,"300 trees, balanced_subsample, sqrt features",1.39
0.6816202090592335,0.5970025448434206,0.672344355695549,0.6142130223607404,0.6071318419507267,0.9242160278745645,Random Forest,6,2,"300 trees, balanced_subsample, sqrt features",1.41
0.6777003484320557,0.5949293598993688,0.6685047786543178,0.6110425913632711,0.6022142093084328,0.9185540069686411,Random Forest,8,2,"300 trees, balanced_subsample, sqrt features",1.47
0.6820557491289199,0.591014935482868,0.670418616707244,0.6142023564936163,0.5981412283759519,0.9281358885017421,Random Forest,6,6,"300 trees, balanced_subsample, sqrt features",1.5
0.681184668989547,0.5901959263527401,0.6754668764109443,0.6116971827527538,0.5947804049228772,0.9094076655052264,Random Forest,4,0,"300 trees, balanced_subsample, sqrt features",1.38
0.6689895470383276,0.5878375035333836,0.6642051063371418,0.5974689369325944,0.5961321322641983,0.9224738675958188,Random Forest,2,0,"300 trees, balanced_subsample, sqrt features",1.26
0.6816202090592335,0.5850959108099082,0.6707388266953176,0.6035651599147444,0.595873566938808,0.9281358885017421,Random Forest,8,4,"300 trees, balanced_subsample, sqrt features",1.58
0.6781358885017421,0.5827902177852676,0.667507280163241,0.6088739797952772,0.5876271186833408,0.9211672473867596,Random Forest,10,4,"300 trees, balanced_subsample, sqrt features",1.54
0.6846689895470384,0.5822582555694441,0.6764895558726003,0.6019433492913603,0.5918163666841169,0.9098432055749129,Random Forest,16,0,"300 trees, balanced_subsample, sqrt features",1.51
0.6711672473867596,0.5809317289886953,0.6609884212181131,0.6002211186526211,0.5903598303180445,0.9220383275261324,Random Forest,4,4,"300 trees, balanced_subsample, sqrt features",1.44
