accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model,model_family,n_diag_sec,n_proc_sec,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,seconds
0.710801393728223,0.6198828147164137,0.7019561958200974,0.6450149962050434,0.6225553885641353,0.9263937282229965,RF_depth15_leaf1,Random Forest,6,0,500,15,1,2,sqrt,balanced_subsample,2.25
0.7042682926829268,0.6166840230148914,0.6974586150539069,0.6324719586753482,0.6242764555396204,0.9237804878048781,RF_log2,Random Forest,6,0,400,None,2,4,log2,balanced_subsample,1.76
0.7038327526132404,0.6163221049656739,0.6970250249065558,0.6323707222690862,0.6239143677881521,0.9237804878048781,RF_depth30,Random Forest,6,0,400,30,2,4,sqrt,balanced_subsample,1.89
0.6994773519163763,0.613881836755385,0.6939573677776089,0.6299203052855857,0.6219040524018078,0.926829268292683,RF_300_balanced,Random Forest,6,0,300,None,2,4,sqrt,balanced_subsample,1.33
0.6990418118466899,0.6112240948736473,0.6930220823876241,0.6289528874492392,0.6183952895729758,0.9259581881533101,RF_500_balanced,Random Forest,6,0,500,None,2,4,sqrt,balanced_subsample,2.25
0.710801393728223,0.6109955915021592,0.6952637212101366,0.6394013628353151,0.6055269348072907,0.9320557491289199,RF_depth25_leaf1,Random Forest,6,0,500,25,1,2,sqrt,balanced_subsample,2.54
0.7051393728222997,0.6081473328176694,0.6888667650723108,0.6393493769546321,0.6018251953032246,0.9294425087108014,RF_leaf1,Random Forest,6,0,400,None,1,2,sqrt,balanced_subsample,2.09
0.6964285714285714,0.6041213621524523,0.690022951417607,0.6187649550990812,0.6118603656242058,0.9259581881533101,RF_depth20,Random Forest,6,0,400,20,2,4,sqrt,balanced_subsample,1.84
0.6816202090592335,0.6001299879075352,0.679351623824105,0.6169735906075726,0.613332442259958,0.9224738675958188,RF_leaf3,Random Forest,6,0,400,None,3,6,sqrt,balanced_subsample,1.85
0.6968641114982579,0.5692107112379872,0.6743332858764574,0.6218956899669269,0.5607354641403017,0.9172473867595818,RF_no_weight,Random Forest,6,0,400,None,2,4,sqrt,None,1.38
